PLOT_ID,NDVI,SummaryQA,DayOfYear,yr
166,0.008400000000000001,3.0,29.0,2002.0
168,0.0395,3.0,29.0,2002.0
218,0.0589,2.0,29.0,2002.0
220,-0.0077,2.0,29.0,2002.0
222,-0.0034000000000000002,2.0,29.0,2002.0
224,-0.0092,2.0,29.0,2002.0
226,-0.006,2.0,29.0,2002.0
228,-0.0091,2.0,29.0,2002.0
232,-0.004,3.0,29.0,2002.0
234,0.0078000000000000005,3.0,29.0,2002.0
236,-0.034300000000000004,2.0,26.0,2002.0
286,0.09430000000000001,2.0,29.0,2002.0
290,-0.0167,2.0,29.0,2002.0
292,-0.0196,2.0,29.0,2002.0
298,-0.0086,3.0,29.0,2002.0
300,-0.007,3.0,29.0,2002.0
370,-0.024,2.0,29.0,2002.0
372,-0.014700000000000001,2.0,29.0,2002.0
374,-0.0119,2.0,29.0,2002.0
376,-0.0034000000000000002,2.0,29.0,2002.0
378,0.20170000000000002,1.0,22.0,2002.0
380,-0.006200000000000001,2.0,29.0,2002.0
384,-0.009300000000000001,2.0,29.0,2002.0
386,0.0317,3.0,27.0,2002.0
388,-8.0E-4,2.0,29.0,2002.0
474,-0.0049,2.0,29.0,2002.0
476,-0.0079,2.0,29.0,2002.0
480,-0.020800000000000003,2.0,29.0,2002.0
482,-0.0041,2.0,29.0,2002.0
486,-0.016800000000000002,2.0,29.0,2002.0
488,0.0212,2.0,29.0,2002.0
492,0.2584,3.0,22.0,2002.0
494,0.0035,3.0,27.0,2002.0
579,-0.0126,2.0,29.0,2002.0
581,-0.025,2.0,29.0,2002.0
595,0.6513,1.0,22.0,2002.0
600,0.21280000000000002,2.0,28.0,2002.0
656,0.3139,1.0,22.0,2002.0
658,0.5282,1.0,22.0,2002.0
664,0.06810000000000001,2.0,27.0,2002.0
666,0.1933,2.0,28.0,2002.0
695,0.0684,3.0,18.0,2002.0
697,0.5273,1.0,22.0,2002.0
699,0.3694,1.0,22.0,2002.0
702,0.4465,1.0,22.0,2002.0
715,0.4369,1.0,22.0,2002.0
1052,0.07830000000000001,2.0,29.0,2002.0
1084,0.1373,2.0,29.0,2002.0
1086,0.14170000000000002,2.0,29.0,2002.0
1088,0.509,1.0,22.0,2002.0
1139,0.1427,2.0,29.0,2002.0
1141,0.13240000000000002,2.0,29.0,2002.0
1143,0.4068,1.0,22.0,2002.0
1145,0.5497000000000001,1.0,22.0,2002.0
154,0.0609,2.0,38.0,2002.0
156,0.048600000000000004,2.0,38.0,2002.0
160,0.0398,2.0,43.0,2002.0
162,0.033600000000000005,2.0,43.0,2002.0
164,0.28350000000000003,2.0,33.0,2002.0
166,0.1419,2.0,33.0,2002.0
168,0.0324,2.0,33.0,2002.0
218,0.45630000000000004,1.0,38.0,2002.0
220,0.0804,2.0,38.0,2002.0
222,-0.0024000000000000002,2.0,33.0,2002.0
224,0.0363,2.0,38.0,2002.0
226,0.0413,2.0,38.0,2002.0
228,0.0572,2.0,43.0,2002.0
232,0.09860000000000001,2.0,43.0,2002.0
234,0.0852,2.0,43.0,2002.0
236,0.0095,2.0,33.0,2002.0
286,0.18680000000000002,2.0,38.0,2002.0
290,0.0673,3.0,38.0,2002.0
292,0.0674,3.0,43.0,2002.0
298,0.09630000000000001,2.0,38.0,2002.0
300,0.0412,2.0,43.0,2002.0
370,0.0436,3.0,38.0,2002.0
372,0.1043,3.0,43.0,2002.0
374,0.060700000000000004,3.0,38.0,2002.0
376,0.1014,3.0,43.0,2002.0
378,0.1033,3.0,43.0,2002.0
380,0.0878,3.0,43.0,2002.0
384,0.038900000000000004,2.0,38.0,2002.0
386,0.07780000000000001,2.0,43.0,2002.0
388,0.046400000000000004,2.0,43.0,2002.0
474,0.1114,2.0,38.0,2002.0
476,0.06280000000000001,3.0,38.0,2002.0
480,0.0682,3.0,43.0,2002.0
482,0.0526,3.0,43.0,2002.0
486,0.028300000000000002,2.0,38.0,2002.0
488,0.046900000000000004,2.0,43.0,2002.0
492,0.023700000000000002,2.0,35.0,2002.0
494,0.0308,2.0,35.0,2002.0
579,0.023,2.0,38.0,2002.0
581,0.0386,2.0,38.0,2002.0
595,0.1019,3.0,34.0,2002.0
600,0.3491,3.0,47.0,2002.0
656,0.12890000000000001,3.0,45.0,2002.0
658,0.1729,2.0,35.0,2002.0
664,0.1302,2.0,36.0,2002.0
666,0.22440000000000002,3.0,45.0,2002.0
695,-0.053000000000000005,1.0,47.0,2002.0
697,0.12490000000000001,3.0,38.0,2002.0
699,0.23820000000000002,3.0,38.0,2002.0
702,0.1385,2.0,33.0,2002.0
715,0.16090000000000002,1.0,47.0,2002.0
1052,0.2798,1.0,38.0,2002.0
1084,0.5336000000000001,1.0,38.0,2002.0
1086,0.46690000000000004,1.0,38.0,2002.0
1088,0.42250000000000004,1.0,38.0,2002.0
1139,0.5302,1.0,38.0,2002.0
1141,0.4227,1.0,38.0,2002.0
1143,0.3556,1.0,38.0,2002.0
1145,0.4137,1.0,38.0,2002.0
154,0.036000000000000004,2.0,56.0,2002.0
156,0.0176,2.0,56.0,2002.0
160,0.012,2.0,56.0,2002.0
162,0.015300000000000001,2.0,56.0,2002.0
164,0.0771,2.0,56.0,2002.0
166,0.1859,2.0,56.0,2002.0
168,0.027700000000000002,2.0,56.0,2002.0
218,0.1825,2.0,56.0,2002.0
220,0.010100000000000001,2.0,56.0,2002.0
222,0.0048000000000000004,3.0,56.0,2002.0
226,0.0032,2.0,61.0,2002.0
228,0.0031000000000000003,3.0,56.0,2002.0
232,0.0791,2.0,56.0,2002.0
234,0.0392,2.0,56.0,2002.0
236,0.004200000000000001,2.0,56.0,2002.0
286,0.2509,2.0,56.0,2002.0
290,0.0,2.0,61.0,2002.0
292,0.0146,3.0,59.0,2002.0
298,8.0E-4,3.0,56.0,2002.0
300,0.005,2.0,56.0,2002.0
370,0.0028,2.0,61.0,2002.0
372,0.0111,2.0,56.0,2002.0
374,0.0198,2.0,56.0,2002.0
376,0.0061,2.0,56.0,2002.0
378,-0.02,3.0,60.0,2002.0
380,0.0145,3.0,60.0,2002.0
384,0.030000000000000002,3.0,60.0,2002.0
386,0.0388,2.0,61.0,2002.0
388,0.013800000000000002,2.0,61.0,2002.0
474,0.049800000000000004,2.0,56.0,2002.0
476,0.010700000000000001,2.0,61.0,2002.0
480,-0.0024000000000000002,2.0,56.0,2002.0
482,0.0171,2.0,61.0,2002.0
486,9.000000000000001E-4,2.0,61.0,2002.0
488,0.0089,2.0,61.0,2002.0
492,0.014400000000000001,2.0,61.0,2002.0
579,0.0541,2.0,56.0,2002.0
581,0.0068000000000000005,3.0,55.0,2002.0
595,0.1706,2.0,60.0,2002.0
600,0.15030000000000002,2.0,60.0,2002.0
656,0.08220000000000001,2.0,60.0,2002.0
658,0.08220000000000001,2.0,60.0,2002.0
664,0.15860000000000002,2.0,60.0,2002.0
666,0.116,2.0,60.0,2002.0
695,0.037000000000000005,2.0,61.0,2002.0
697,0.10540000000000001,2.0,60.0,2002.0
699,0.061700000000000005,2.0,60.0,2002.0
702,0.0789,2.0,60.0,2002.0
715,0.092,2.0,60.0,2002.0
1052,0.1636,2.0,56.0,2002.0
1084,0.3688,2.0,56.0,2002.0
1086,0.2373,2.0,56.0,2002.0
1088,0.2863,2.0,56.0,2002.0
1139,0.34390000000000004,2.0,56.0,2002.0
1141,0.2665,2.0,56.0,2002.0
1143,0.2635,2.0,56.0,2002.0
1145,0.29350000000000004,2.0,56.0,2002.0
154,0.028,2.0,66.0,2002.0
156,0.042,3.0,65.0,2002.0
160,0.0145,2.0,73.0,2002.0
162,0.016300000000000002,2.0,73.0,2002.0
164,0.1236,2.0,73.0,2002.0
166,0.0307,2.0,73.0,2002.0
168,0.08650000000000001,2.0,73.0,2002.0
218,0.1666,2.0,66.0,2002.0
220,0.0132,2.0,66.0,2002.0
222,0.0024000000000000002,3.0,65.0,2002.0
224,0.0058000000000000005,2.0,77.0,2002.0
226,0.0126,3.0,73.0,2002.0
228,-0.0079,2.0,70.0,2002.0
232,0.0663,2.0,70.0,2002.0
234,0.0333,2.0,73.0,2002.0
236,0.0108,2.0,73.0,2002.0
286,0.12430000000000001,2.0,65.0,2002.0
290,0.0,3.0,66.0,2002.0
292,-0.0046,3.0,66.0,2002.0
298,0.0274,3.0,73.0,2002.0
300,0.0094,3.0,73.0,2002.0
370,-0.0024000000000000002,2.0,66.0,2002.0
372,0.004,3.0,66.0,2002.0
374,0.0034000000000000002,3.0,66.0,2002.0
376,0.0135,3.0,66.0,2002.0
378,0.019,3.0,73.0,2002.0
380,0.0092,3.0,73.0,2002.0
384,0.0521,2.0,73.0,2002.0
386,0.054200000000000005,3.0,73.0,2002.0
388,0.0102,2.0,70.0,2002.0
474,0.0239,2.0,66.0,2002.0
476,0.023100000000000002,2.0,73.0,2002.0
480,-0.0041,2.0,70.0,2002.0
482,0.009000000000000001,2.0,66.0,2002.0
486,0.010400000000000001,3.0,73.0,2002.0
488,0.0206,2.0,73.0,2002.0
492,0.0059,2.0,70.0,2002.0
494,0.0386,3.0,76.0,2002.0
579,0.0318,2.0,73.0,2002.0
581,0.010700000000000001,2.0,66.0,2002.0
595,0.1385,3.0,67.0,2002.0
600,0.0779,2.0,77.0,2002.0
656,0.0431,2.0,77.0,2002.0
658,0.0838,2.0,77.0,2002.0
664,0.1259,2.0,77.0,2002.0
666,0.1119,2.0,77.0,2002.0
695,0.1024,2.0,67.0,2002.0
697,0.0341,2.0,77.0,2002.0
699,0.061500000000000006,2.0,77.0,2002.0
702,0.047900000000000005,2.0,77.0,2002.0
715,0.0893,2.0,67.0,2002.0
1052,0.13490000000000002,2.0,65.0,2002.0
1084,0.21780000000000002,2.0,65.0,2002.0
1086,0.2132,2.0,65.0,2002.0
1088,0.1738,2.0,65.0,2002.0
1139,0.19090000000000001,2.0,66.0,2002.0
1141,0.1782,2.0,66.0,2002.0
1143,0.18960000000000002,2.0,65.0,2002.0
1145,0.1917,2.0,65.0,2002.0
154,0.057100000000000005,3.0,92.0,2002.0
156,0.016,3.0,91.0,2002.0
160,0.0852,3.0,90.0,2002.0
162,0.0236,2.0,93.0,2002.0
164,0.1468,2.0,94.0,2002.0
166,-0.0393,2.0,91.0,2002.0
168,0.061000000000000006,2.0,94.0,2002.0
218,0.1341,2.0,91.0,2002.0
220,0.0592,3.0,92.0,2002.0
222,0.0651,3.0,94.0,2002.0
224,0.0227,3.0,93.0,2002.0
226,0.046700000000000005,3.0,93.0,2002.0
228,0.038400000000000004,3.0,93.0,2002.0
232,0.0526,3.0,93.0,2002.0
234,0.0149,3.0,90.0,2002.0
236,0.0285,2.0,94.0,2002.0
286,0.24980000000000002,3.0,92.0,2002.0
290,0.082,3.0,94.0,2002.0
292,0.0494,3.0,94.0,2002.0
298,0.0466,3.0,93.0,2002.0
300,0.046900000000000004,3.0,94.0,2002.0
370,0.0142,3.0,93.0,2002.0
372,0.0341,3.0,93.0,2002.0
374,0.0487,3.0,93.0,2002.0
376,0.0587,3.0,93.0,2002.0
378,0.1033,3.0,94.0,2002.0
380,0.1086,3.0,90.0,2002.0
384,0.1272,3.0,93.0,2002.0
386,0.1641,3.0,90.0,2002.0
388,0.061900000000000004,3.0,93.0,2002.0
474,0.16060000000000002,3.0,93.0,2002.0
476,0.11670000000000001,3.0,94.0,2002.0
480,0.0539,3.0,93.0,2002.0
482,0.049600000000000005,3.0,93.0,2002.0
486,0.0665,3.0,94.0,2002.0
488,0.0741,3.0,90.0,2002.0
492,0.2083,3.0,90.0,2002.0
494,0.1308,3.0,93.0,2002.0
579,0.1051,3.0,94.0,2002.0
581,0.0627,3.0,93.0,2002.0
595,0.0941,2.0,91.0,2002.0
600,0.1685,2.0,93.0,2002.0
656,0.059000000000000004,2.0,93.0,2002.0
658,0.0682,2.0,91.0,2002.0
664,0.0896,2.0,91.0,2002.0
666,0.1711,2.0,93.0,2002.0
695,0.0397,2.0,93.0,2002.0
697,0.0724,2.0,93.0,2002.0
699,0.064,2.0,93.0,2002.0
702,0.07150000000000001,2.0,91.0,2002.0
715,0.062400000000000004,2.0,93.0,2002.0
1052,0.17300000000000001,2.0,93.0,2002.0
1084,0.24400000000000002,2.0,93.0,2002.0
1086,0.1769,2.0,93.0,2002.0
1088,0.1812,3.0,91.0,2002.0
1139,0.2518,2.0,93.0,2002.0
1141,0.20040000000000002,2.0,93.0,2002.0
1143,0.1394,3.0,91.0,2002.0
1145,0.13090000000000002,3.0,91.0,2002.0
154,0.2323,3.0,109.0,2002.0
156,0.2762,3.0,110.0,2002.0
160,0.0308,2.0,98.0,2002.0
162,0.047400000000000005,2.0,98.0,2002.0
164,0.1364,2.0,98.0,2002.0
166,0.0442,2.0,98.0,2002.0
168,0.0391,2.0,98.0,2002.0
218,0.33290000000000003,1.0,109.0,2002.0
220,0.21480000000000002,1.0,109.0,2002.0
222,0.23950000000000002,3.0,109.0,2002.0
224,0.2315,1.0,109.0,2002.0
226,0.23870000000000002,1.0,109.0,2002.0
228,0.21330000000000002,3.0,109.0,2002.0
232,0.06620000000000001,2.0,98.0,2002.0
234,0.0468,2.0,98.0,2002.0
236,0.0183,2.0,98.0,2002.0
286,0.35900000000000004,1.0,109.0,2002.0
290,0.21630000000000002,3.0,109.0,2002.0
292,0.2089,1.0,109.0,2002.0
298,0.2268,3.0,110.0,2002.0
300,0.2657,3.0,110.0,2002.0
370,0.2417,1.0,109.0,2002.0
372,0.2762,1.0,109.0,2002.0
374,0.28150000000000003,1.0,109.0,2002.0
376,0.20570000000000002,3.0,109.0,2002.0
378,0.22760000000000002,3.0,110.0,2002.0
380,0.027,2.0,98.0,2002.0
384,0.061900000000000004,2.0,98.0,2002.0
386,0.0436,2.0,98.0,2002.0
388,0.029300000000000003,2.0,98.0,2002.0
474,0.3612,1.0,109.0,2002.0
476,0.2828,1.0,109.0,2002.0
480,0.24730000000000002,3.0,109.0,2002.0
482,0.2655,3.0,109.0,2002.0
486,0.0224,2.0,98.0,2002.0
488,0.022500000000000003,2.0,98.0,2002.0
492,0.049600000000000005,2.0,98.0,2002.0
494,0.0777,2.0,98.0,2002.0
579,0.2931,3.0,110.0,2002.0
581,0.025,3.0,112.0,2002.0
595,0.5118,1.0,109.0,2002.0
600,0.4459,3.0,109.0,2002.0
656,0.4098,1.0,109.0,2002.0
658,0.4932,1.0,109.0,2002.0
664,0.5125000000000001,3.0,109.0,2002.0
666,0.4295,1.0,109.0,2002.0
695,0.0383,2.0,97.0,2002.0
697,0.3249,1.0,109.0,2002.0
699,0.3533,1.0,109.0,2002.0
702,0.5415,1.0,109.0,2002.0
715,0.2464,1.0,109.0,2002.0
1052,0.32530000000000003,3.0,109.0,2002.0
1084,0.3211,3.0,109.0,2002.0
1086,0.1575,3.0,98.0,2002.0
1088,0.22260000000000002,3.0,109.0,2002.0
1139,0.1661,3.0,98.0,2002.0
1141,0.1134,3.0,98.0,2002.0
1143,0.20650000000000002,3.0,109.0,2002.0
1145,0.19840000000000002,2.0,109.0,2002.0
154,0.2647,1.0,118.0,2002.0
156,0.22340000000000002,1.0,118.0,2002.0
160,0.2897,1.0,122.0,2002.0
162,0.2798,1.0,122.0,2002.0
164,0.33290000000000003,3.0,122.0,2002.0
166,0.227,3.0,122.0,2002.0
168,0.2962,3.0,118.0,2002.0
218,0.4081,1.0,122.0,2002.0
220,0.2591,1.0,122.0,2002.0
222,0.224,1.0,118.0,2002.0
224,0.2431,1.0,118.0,2002.0
226,0.2091,1.0,118.0,2002.0
228,0.2258,3.0,122.0,2002.0
232,0.2607,3.0,122.0,2002.0
234,0.30810000000000004,3.0,122.0,2002.0
236,0.059800000000000006,3.0,122.0,2002.0
286,0.5629000000000001,1.0,118.0,2002.0
290,0.2159,1.0,118.0,2002.0
292,0.2363,1.0,122.0,2002.0
298,0.2227,3.0,122.0,2002.0
300,0.22940000000000002,3.0,122.0,2002.0
370,0.21630000000000002,1.0,118.0,2002.0
372,0.2647,1.0,118.0,2002.0
374,0.2988,1.0,118.0,2002.0
376,0.2431,3.0,118.0,2002.0
378,0.2487,3.0,122.0,2002.0
380,0.2394,3.0,122.0,2002.0
384,0.38180000000000003,3.0,122.0,2002.0
386,0.3433,3.0,122.0,2002.0
388,0.3079,3.0,117.0,2002.0
474,0.4762,1.0,122.0,2002.0
476,0.2677,1.0,118.0,2002.0
480,0.19820000000000002,3.0,117.0,2002.0
482,0.2672,3.0,122.0,2002.0
486,0.1716,3.0,122.0,2002.0
488,0.22310000000000002,3.0,122.0,2002.0
492,0.2627,3.0,117.0,2002.0
494,0.1902,3.0,118.0,2002.0
579,0.3791,1.0,122.0,2002.0
581,0.11130000000000001,3.0,118.0,2002.0
595,0.5164,1.0,122.0,2002.0
600,0.2023,3.0,114.0,2002.0
656,0.3795,1.0,118.0,2002.0
658,0.4944,1.0,118.0,2002.0
664,0.24630000000000002,3.0,114.0,2002.0
666,0.313,3.0,114.0,2002.0
695,0.1398,2.0,117.0,2002.0
697,0.4187,1.0,118.0,2002.0
699,0.3547,1.0,118.0,2002.0
702,0.39080000000000004,1.0,118.0,2002.0
715,0.3506,1.0,118.0,2002.0
1052,0.3514,3.0,118.0,2002.0
1084,0.4625,3.0,118.0,2002.0
1086,0.5307000000000001,3.0,121.0,2002.0
1088,0.6222,1.0,122.0,2002.0
1139,0.5447000000000001,1.0,122.0,2002.0
1141,0.6146,1.0,122.0,2002.0
1143,0.2616,3.0,118.0,2002.0
1145,0.2584,3.0,118.0,2002.0
154,0.25630000000000003,1.0,132.0,2002.0
156,0.28450000000000003,1.0,132.0,2002.0
160,-0.0303,2.0,129.0,2002.0
162,0.3083,1.0,133.0,2002.0
164,0.3519,1.0,133.0,2002.0
166,0.38070000000000004,1.0,133.0,2002.0
168,0.2871,1.0,133.0,2002.0
218,0.11660000000000001,2.0,129.0,2002.0
220,0.24150000000000002,3.0,132.0,2002.0
222,0.2293,1.0,132.0,2002.0
224,0.2354,1.0,132.0,2002.0
226,0.2283,1.0,132.0,2002.0
228,-0.0333,2.0,129.0,2002.0
232,0.0094,2.0,129.0,2002.0
234,-0.0207,2.0,129.0,2002.0
236,-0.0268,2.0,129.0,2002.0
286,0.1213,2.0,129.0,2002.0
290,0.2589,1.0,132.0,2002.0
292,0.2411,1.0,132.0,2002.0
298,-0.040100000000000004,2.0,129.0,2002.0
300,-0.038700000000000005,2.0,129.0,2002.0
370,-0.018600000000000002,2.0,129.0,2002.0
372,-0.013600000000000001,2.0,129.0,2002.0
374,0.0018000000000000002,2.0,129.0,2002.0
376,-0.007,2.0,129.0,2002.0
378,-0.0263,2.0,129.0,2002.0
380,-0.043000000000000003,2.0,129.0,2002.0
384,0.0046,2.0,129.0,2002.0
386,0.012400000000000001,2.0,129.0,2002.0
388,-0.020300000000000002,2.0,129.0,2002.0
474,0.2013,3.0,130.0,2002.0
476,0.0066,2.0,129.0,2002.0
480,-0.010700000000000001,2.0,129.0,2002.0
482,0.013000000000000001,2.0,129.0,2002.0
486,-0.0292,2.0,129.0,2002.0
488,0.0019,2.0,129.0,2002.0
492,-0.0247,2.0,129.0,2002.0
494,-0.0253,2.0,129.0,2002.0
579,0.003,2.0,129.0,2002.0
581,-0.0175,2.0,129.0,2002.0
595,0.543,1.0,132.0,2002.0
600,0.2409,3.0,130.0,2002.0
656,0.39840000000000003,1.0,132.0,2002.0
658,0.232,3.0,130.0,2002.0
664,0.25070000000000003,3.0,130.0,2002.0
666,0.2908,3.0,130.0,2002.0
695,0.3052,1.0,132.0,2002.0
697,0.3663,1.0,132.0,2002.0
699,0.3763,1.0,132.0,2002.0
702,0.23390000000000002,3.0,130.0,2002.0
715,0.1433,3.0,130.0,2002.0
1052,0.32730000000000004,1.0,132.0,2002.0
1084,0.21710000000000002,2.0,130.0,2002.0
1086,0.2597,2.0,132.0,2002.0
1088,0.10500000000000001,2.0,130.0,2002.0
1139,0.23570000000000002,2.0,130.0,2002.0
1141,0.2305,3.0,132.0,2002.0
1143,0.19720000000000001,2.0,132.0,2002.0
1145,0.2136,2.0,130.0,2002.0
154,0.34740000000000004,0.0,150.0,2002.0
156,0.3472,0.0,150.0,2002.0
160,0.3471,0.0,150.0,2002.0
162,0.3733,0.0,157.0,2002.0
164,0.4146,0.0,150.0,2002.0
166,0.3753,1.0,157.0,2002.0
168,0.4042,1.0,157.0,2002.0
218,0.5159,0.0,150.0,2002.0
220,0.3639,0.0,150.0,2002.0
222,0.3124,0.0,150.0,2002.0
224,0.28550000000000003,0.0,150.0,2002.0
226,0.33130000000000004,0.0,150.0,2002.0
228,0.37820000000000004,0.0,157.0,2002.0
232,0.4219,0.0,157.0,2002.0
234,0.34190000000000004,0.0,157.0,2002.0
236,0.3287,0.0,157.0,2002.0
286,0.4199,0.0,150.0,2002.0
290,0.34240000000000004,0.0,150.0,2002.0
292,0.32730000000000004,0.0,150.0,2002.0
298,0.39780000000000004,0.0,157.0,2002.0
300,0.3816,0.0,157.0,2002.0
370,0.35800000000000004,0.0,150.0,2002.0
372,0.3361,0.0,150.0,2002.0
374,0.3388,0.0,150.0,2002.0
376,0.34400000000000003,0.0,150.0,2002.0
378,0.3987,0.0,157.0,2002.0
380,0.38930000000000003,0.0,157.0,2002.0
384,0.42510000000000003,0.0,157.0,2002.0
386,0.44980000000000003,0.0,157.0,2002.0
388,0.4204,0.0,157.0,2002.0
474,0.4036,0.0,150.0,2002.0
476,0.3592,0.0,150.0,2002.0
480,0.312,0.0,150.0,2002.0
482,0.34790000000000004,1.0,149.0,2002.0
486,0.3517,0.0,157.0,2002.0
488,0.3781,1.0,157.0,2002.0
492,0.3894,0.0,157.0,2002.0
494,0.4173,0.0,157.0,2002.0
579,0.31320000000000003,0.0,150.0,2002.0
581,0.3286,1.0,149.0,2002.0
595,0.47840000000000005,1.0,150.0,2002.0
600,0.4269,1.0,150.0,2002.0
656,0.3911,1.0,150.0,2002.0
658,0.47390000000000004,1.0,150.0,2002.0
664,0.4762,1.0,150.0,2002.0
666,0.4002,1.0,150.0,2002.0
695,0.42110000000000003,1.0,150.0,2002.0
697,0.4413,1.0,150.0,2002.0
699,0.4314,1.0,157.0,2002.0
702,0.5101,1.0,157.0,2002.0
715,0.4167,1.0,150.0,2002.0
1052,0.513,0.0,150.0,2002.0
1084,0.5358,0.0,150.0,2002.0
1086,0.5358,0.0,150.0,2002.0
1088,0.56,0.0,150.0,2002.0
1139,0.5667,0.0,150.0,2002.0
1141,0.5192,0.0,150.0,2002.0
1143,0.5578000000000001,0.0,150.0,2002.0
1145,0.5622,0.0,150.0,2002.0
154,0.5159,0.0,173.0,2002.0
156,0.4993,0.0,173.0,2002.0
160,0.5265000000000001,0.0,173.0,2002.0
162,0.541,0.0,173.0,2002.0
164,0.6329,0.0,173.0,2002.0
166,0.554,0.0,173.0,2002.0
168,0.5024000000000001,0.0,173.0,2002.0
218,0.5863,0.0,173.0,2002.0
220,0.5291,0.0,173.0,2002.0
222,0.4852,0.0,173.0,2002.0
224,0.43870000000000003,0.0,173.0,2002.0
226,0.4726,0.0,173.0,2002.0
228,0.4864,0.0,173.0,2002.0
232,0.5556,0.0,173.0,2002.0
234,0.4978,0.0,173.0,2002.0
236,0.44930000000000003,0.0,173.0,2002.0
286,0.5711,0.0,173.0,2002.0
290,0.4989,0.0,173.0,2002.0
292,0.5078,0.0,173.0,2002.0
298,0.5291,0.0,173.0,2002.0
300,0.48260000000000003,0.0,173.0,2002.0
370,0.5096,0.0,173.0,2002.0
372,0.4756,0.0,173.0,2002.0
374,0.45070000000000005,0.0,173.0,2002.0
376,0.4384,0.0,173.0,2002.0
378,0.4635,0.0,173.0,2002.0
380,0.4747,0.0,173.0,2002.0
384,0.5535,0.0,173.0,2002.0
386,0.5415,0.0,173.0,2002.0
388,0.5388000000000001,0.0,173.0,2002.0
474,0.5145000000000001,0.0,173.0,2002.0
476,0.5035000000000001,0.0,173.0,2002.0
480,0.40650000000000003,0.0,173.0,2002.0
482,0.38830000000000003,0.0,173.0,2002.0
486,0.4051,0.0,173.0,2002.0
488,0.46640000000000004,0.0,173.0,2002.0
492,0.5497000000000001,0.0,173.0,2002.0
494,0.5247,0.0,173.0,2002.0
579,0.4277,0.0,173.0,2002.0
581,0.374,0.0,171.0,2002.0
595,0.5736,0.0,173.0,2002.0
600,0.5306000000000001,0.0,173.0,2002.0
656,0.5348,0.0,173.0,2002.0
658,0.5715,0.0,173.0,2002.0
664,0.5311,0.0,173.0,2002.0
666,0.4944,0.0,173.0,2002.0
695,0.2821,0.0,173.0,2002.0
697,0.5681,0.0,173.0,2002.0
699,0.48660000000000003,0.0,173.0,2002.0
702,0.40690000000000004,0.0,173.0,2002.0
715,0.447,0.0,173.0,2002.0
1052,0.5751000000000001,0.0,173.0,2002.0
1084,0.5649000000000001,0.0,173.0,2002.0
1086,0.5625,0.0,173.0,2002.0
1088,0.5770000000000001,0.0,173.0,2002.0
1139,0.6365000000000001,0.0,173.0,2002.0
1141,0.598,0.0,173.0,2002.0
1143,0.5996,0.0,173.0,2002.0
1145,0.6039,0.0,173.0,2002.0
154,0.6087,0.0,187.0,2002.0
